ingredient_name|serving_size|serving_size_unit|description|energy|energy_unit|protein|protein_unit|total_fat|total_fat_unit|saturated_fat|saturated_fat_unit|dietary_fibre|dietary_fibre_unit|carbohydrate|carbohydrate_unit|cholesterol|cholesterol_unit|sodium|sodium_unit
Threadfin,whole, raw|108|g||39.9|kcal|8.72|g|0.44|g|0.27|g|||0.22|g|1.77|mg|22.58|mg
Thyme, raw|.8|g||0.81|kcal|0.04|g|0.01|g|0|g|0.11|g|0.2|g|||0.07|mg
Toman, whole, raw|38|g||14.47|kcal|3.52|g|0.04|g|0.04|g|||0.02|g|||2.86|mg
Tomato, cherry, raw|15|g|Tom Thumb|2.29|kcal|0.07|g|0.01|g|||0.25|g|0.32|g|||1.47|mg
Tomato, raw|15|g|Tom Thumb|2.29|kcal|0.07|g|0.01|g|||0.25|g|0.32|g|||1.47|mg
Tomatoes, green, raw|180|g||41.4|kcal|2.16|g|0.36|g|0.04|g|1.98|g|7.2|g|||23.4|mg
Top shell, raw|1|g||0.91|kcal|0.2|g|0|g|0|g|||0.01|g|1.7|mg|4|mg
Trevally, malabar, raw|91|g||38.22|kcal|7.95|g|0.73|g|0.38|g|||||15.67|mg|31.34|mg
Trevally, yellow banded, whole, raw|60|g|Selar kuning, yellow banded scad|29.16|kcal|6.16|g|0.5|g|0.26|g|||||17.57|mg|12.38|mg
Turkey breast meat, raw, with skin|60|g|Turkey breast meat without skin|58.8|kcal|11.94|g|0.72|g|0.27|g|0.12|g|1.08|g|10.62|mg|395.4|mg
Turkey breast meat, raw, without skin|70|g|Turkey breast meat with skin|62.3|kcal|13.16|g|0.77|g|0.31|g|0.07|g|0.77|g|8.96|mg|460.6|mg
Turnip, white, raw, peeled|112|g|Lobak putih, loy-tau, sengkuang|22.42|kcal|1.3|g|||||1.69|g|3.39|g|||23.92|mg
Turtle, raw|15|g||0.6|kcal|0.17|g|||||||||||23.1|mg
Veal, boneless, unspecified cut, raw, fat only|50|g||177.58|kcal|9.65|g|15.65|g|6.85|g|||||40|mg|34.5|mg
Veal, boneless, unspecified cut, raw, lean and fat|215|g||252.21|kcal|46.09|g|7.3|g|2.09|g|||||171.01|mg|185.61|mg
Veal, boneless, unspecified cut, raw, lean only|215|g||224.05|kcal|47.95|g|3.22|g|0.86|g|||||176.3|mg|195.65|mg
Veal, forequarter, raw, 50%,trimmed|215|g||241.29|kcal|43.24|g|7.43|g|2.15|g|||||160.43|mg|180|mg
Veal, forequarter, raw, 75%,trimmed|215|g||219.77|kcal|42|g|5.49|g|1.51|g|||||155.14|mg|174.06|mg
Veal, forequarter, raw, lean and fat|215|g||293.41|kcal|47.3|g|11.61|g|3.44|g|||||176.3|mg|193.5|mg
Veal, forequarter, raw, lean only|215|g||197.86|kcal|40.75|g|3.66|g|1.1|g|||||149.85|mg|169.96|mg
Veal, leg steak, raw, lean and fat|90|g||100.67|kcal|21.21|g|1.57|g|0.52|g|||||49.76|mg|48.89|mg
Veal, leg steak, raw, lean only|90|g||97.35|kcal|20.64|g|1.52|g|0.51|g|||||48.22|mg|47.38|mg
Veal, leg, raw, lean and fat|650|g||643.16|kcal|136.5|g|9.75|g|2.6|g|||||533|mg|526.5|mg
Veal, leg, raw, lean only|650|g||551.82|kcal|131.66|g|1.87|g|0.62|g|||||511.68|mg|505.44|mg
Veal, loin chop, raw, lean and fat|115|g||103.55|kcal|17.7|g|3.57|g|1.03|g|||||65.07|mg|70.62|mg
Veal, loin chop, raw, lean only|115|g||74.98|kcal|16.11|g|1.07|g|0.29|g|||||58.47|mg|64.88|mg
Veal, shank, raw, lean and fat|275|g||138.7|kcal|27.53|g|3.1|g|0.52|g|||||105.99|mg|138.3|mg
Veal, shank, raw, lean only|275|g||109.61|kcal|25.89|g|0.48|g|0.24|g|||||99.22|mg|133.1|mg
Veal, shoulder steak, raw, lean and fat|80|g||98.45|kcal|17.1|g|3.27|g|0.3|g|||||62.32|mg|74.48|mg
Veal, shoulder steak, raw, lean only|80|g||81.34|kcal|16.16|g|1.78|g|0.5|g|||||58.38|mg|71.2|mg
Vegetable, dark green leafy, unspecified, raw|63.4|g|Weighed average of dark green leafy vegetables consumed by subjects in the Food Consumption Study 1993|17.53|kcal|1.99|g|0.33|g|0.05|g|1.9|g|2.25|g|||22.57|mg
Vegetable, dark green non leafy, unspecified, raw|68|g|Weighed average of dark green non-leafy vegetables consumed by subjects in the food Consumption Study 1993|18.43|kcal|2.59|g|0.17|g|0.05|g|1.32|g|1.51|g|||16.99|mg
Vegetable, pale green leafy, unspecified, raw|50|g|Weighed average of pale green leafy vegetables consumed by subjects in the Food Consumption Study 1993|9.29|kcal|0.81|g|0.11|g|0.02|g|0.96|g|1.24|g|||7.39|mg
Vegetable, pale green non leafy, unspecified, raw|63.4|g|Weighed average of pale green non-leafy vegetables consumed by subjects in Food consumption Study 1993|18.98|kcal|1.89|g|0.01|g|||1.38|g|2.84|g|||34.94|mg
Walnut, raw|110|g|Raw or unroasted walnut kernels, described as either brown (sold for baking purposes) or golden (sold for direct consumption). Includes samples originating from China and India.|351.54|kcal|7.29|g|35.02|g|2.23|g|3.24|g|1.52|g|||1.52|mg
Wanton skin, raw|3|g|Ingredients include eggs, flour and salt|8.85|kcal|0.26|g|0.03|g|0.01|g|0.04|g|1.88|g|||26.13|mg
Water apple, raw, with peel|53|g|Jambu air|8.63|kcal|0.41|g|0.05|g|||0.1|g|1.58|g|||0.51|mg
Water convulvolus, raw|13.5|g||3.34|kcal|0.36|g|0.02|g|||0.16|g|0.41|g|||7.46|mg
Waterchestnut, Chinese, raw|161|g||131.26|kcal|1.74|g|0.12|g|0|g|1.36|g|29.63|g|||17.36|mg
Watercress, raw|34|g||5.36|kcal|0.71|g|0.03|g|0.01|g|0.14|g|0.57|g|||7.07|mg
Wax jambu, raw|50|g|Java Apple; Rose Apple; Makopa; Wax Apple|11.74|kcal|0.31|g|0.09|g|||0.86|g|2.03|g|||0.45|mg
White pomfret fish, raw|312|g||193.94|kcal|30.23|g|8.04|g|5.01|g|||||84.91|mg|213.16|mg
White rice, raw|190|g||672.6|kcal|14.63|g|4.37|g|||1.71|g|143.45|g|||11.4|mg
Whitebait, raw|18.4|g||21.94|kcal|3.16|g|1.03|g|0.28|g|||||66.42|mg|1.58|mg
Whiting trumpeter, whole, raw|64|g||23.33|kcal|5.64|g|0.06|g|0.06|g|||0.03|g|11.81|mg|27.94|mg
Wintermelon, raw|125|g||11|kcal|0.4|g|0.2|g|||0.7|g|1.9|g|||1.8|mg
Wolfberry leaf, raw|49|g||11.64|kcal|1.47|g|0.21|g|||0.69|g|0.99|g|||2.06|mg
Yam stalk, raw|53|g||13.3|kcal|0.16|g|0.11|g|||1.06|g|2.92|g|||0.53|mg
Yellow noodle, raw|200|g|No change in yield|388|kcal|11|g|3.6|g|0.88|g|1.4|g|78|g|||1518|mg
Yellowtail fusilier, raw|82|g||40.75|kcal|9.34|g|0.35|g|0.18|g|||||18.15|mg|20.81|mg
Zucchini, green skin, raw|95|g|Courgette|12.89|kcal|0.71|g|0.27|g|||1.06|g|1.41|g|||0.88|mg
