food_name|description|energy|protein|total_fat|saturated_fat|dietary_fibre|carbohydrate|cholesterol|sodium
Black pepper crab|Pepper crab, black pepper crab|172.05 kcal|24.76 g|8.17 g|3 g|NA|NA|114.7 mg|1165.24 mg
Black pomfret fish, raw||234.57 kcal|37.65 g|9.07 g|5.3 g|NA|0.79 g|95.41 mg|212.89 mg
Black pomfret, fried||305.57 kcal|42.78 g|8.96 g|4.31 g|NA|1.36 g|65.19 mg|192.85 mg
Black pomfret, in chilli, fried||161.01 kcal|16.16 g|9.71 g|4.77 g|1.4 g|2.26 g|59.19 mg|124.36 mg
Black tea (no sugar)||2.5 kcal|0.25 g|NA|NA|NA|0.25 g|NA|2.5 mg
Blackberries, raw||61.92 kcal|2 g|0.71 g|0.02 g|7.63 g|13.84 g|NA|1.44 mg
Blackberry, stewed with sugar|Blackberries, stewed with sugar|156.63 kcal|2.58 g|0.26 g|NA|14.71 g|38.18 g|NA|7.74 mg
Blackberry, stewed without sugar|Blackberries, stewed without sugar|67.83 kcal|2.84 g|0.26 g|NA|16.25 g|14.19 g|NA|7.74 mg
Blood, braised in dark sauce|Broad cubes of coagulated pig's blood, served in black sauce, braised|70.4 kcal|15.2 g|0.96 g|0.48 g|NA|0 g|4.8 mg|948.8 mg
Blood, in dark sauce, braised|Broad cubes of coagualted pig's blood in black sauce, braised|70.4 kcal|15.2 g|0.96 g|0.48 g|NA|NA|4.8 mg|948.8 mg
Bloody mary|Cocktail with 61.5% tomato juice, 28.3% vodka, and 10.2% lemon juice. Alcohol: 11.7% by volume (9.4% by weight)|115.44 kcal|0.74 g|0.15 g|0.01 g|0.38 g|4.88 g|NA|331.52 mg
Blue Elephant Royal Thai Cuisine Hot Green Curry Paste|-|95.2 kcal|2.73 g|4.83 g|0.7 g|5.67 g|10.15 g|NA|3.29 mg
Blueberries, raw||0.74 kcal|0.01 g|0 g|0 g|0.03 g|0.16 g|NA|0.01 mg
Blueberry filling||288.2 kcal|1.31 g|0.52 g|NA|1.31 g|58.95 g|NA|262 mg
Blueberry jam waffle|Waffles, with blueberry jam filling|393.13 kcal|8.53 g|17.49 g|10.6 g|1.78 g|51.71 g|93.98 mg|152.72 mg
Bo Luo Bao (Pineapple Bun)|Pineapple bun|322.63 kcal|6.47 g|15.87 g|9.3 g|1 g|38.42 g|NA|226.38 mg
Boiled beef ball|Scraped beef meat, boiled|58.63 kcal|5.53 g|2.95 g|1.48 g|NA|2.46 g|36.9 mg|156.62 mg
Boiled black chicken||98.45 kcal|11.56 g|5.84 g|1.59 g|NA|NA|33.2 mg|45.79 mg
Boiled chicken intestines||66.72 kcal|5.9 g|4.8 g|1.63 g|NA|NA|150.72 mg|77.76 mg
Boiled clams with shells|Boiled clams with shells intact|541.8 kcal|120.74 g|4.64 g|2.09 g|NA|5.42 g|224.46 mg|1656.36 mg
Boiled crocodile meat|Crocodile meat, boiled, unspecified cut|383.25 kcal|53.55 g|18.38 g|6.74 g|NA|1.22 g|40.25 mg|40.25 mg
Boiled kampung chicken|Kampung chicken, boiled, with skin|183.76 kcal|24.34 g|9.57 g|3.5 g|NA|NA|108.83 mg|39.78 mg
Boiled spicy potato||59.64 kcal|1.76 g|0.25 g|0.08 g|2.1 g|12.68 g|NA|43.68 mg
Bologna, beef||72.07 kcal|2.69 g|6.52 g|2.69 g|NA|0.46 g|12.88 mg|230.23 mg
Bologna, pork, round, mildly seasoned, cured||69.26 kcal|4.28 g|5.57 g|1.93 g|NA|0.2 g|16.52 mg|331.52 mg
Bologna, turkey, round, pre cooked||55.88 kcal|3.84 g|4.26 g|1.54 g|NA|0.28 g|27.72 mg|245.84 mg
Bolognese pasta sauce, with mushroom||125 kcal|4.75 g|4 g|0.58 g|4.25 g|17.5 g|NA|1570 mg
Bombay Halwa|Soft, jelly-type snack made from mixture of flour, sugar, agar-agar|389.88 kcal|0.97 g|7.99 g|3.86 g|1.08 g|78.41 g|8.64 mg|10.8 mg
Boneless Chicken Wings - Original|Chicken, batter and skin|93.76 kcal|6.88 g|5.82 g|2.1 g|0.16 g|3.49 g|NA|115.52 mg
Boonthi|Fried flour dough in the shape of marbles|234 kcal|2.2 g|12.25 g|5.19 g|1.95 g|28.7 g|NA|16.5 mg
Bragg liquid aminos|A certified NON-GMO liquid protein concentrate, derived from healthy soybeans, that contains 16 amino acids (essential and non-essential) in naturally-occuring amounts.|NA|0 g|NA|NA|NA|0 g|NA|16 mg
Braised beef stomach|Beef stomach, braised|432 kcal|38.93 g|27.23 g|9.72 g|5.85 g|8.33 g|65.25 mg|1118.25 mg
Braised beef tendon noodles|Noodles with braised beef tendon and chye sim, served with chilli sauce|461.76 kcal|33.74 g|5.33 g|2.66 g|12.43 g|69.26 g|93.24 mg|2264.4 mg
Braised chicken rice|Rice, chicken W/ soya sauce, BRS|548.88 kcal|24.43 g|23.88 g|7.67 g|2.16 g|59.08 g|33.62 mg|835.67 mg
Braised chicken rice, skinless chicken|Chicken with soy sauce, without skin, braised|503.14 kcal|23.66 g|14.78 g|4.89 g|1.69 g|68.91 g|26.48 mg|1009.19 mg
Braised chicken with sea cucumber|Chicken, thigh and feet, with sea cucumber, braised|132.65 kcal|10.67 g|9.18 g|2.64 g|1.01 g|1.84 g|54.7 mg|279.49 mg
Braised duck|Duck cooked with dark sauce and spices|34.05 kcal|2.64 g|2.56 g|1.13 g|NA|0.08 g|14.68 mg|46.05 mg
Braised duck feet|Duck feet with dark sauce, braised|22.64 kcal|2.48 g|1.34 g|0.34 g|NA|0.16 g|1.37 mg|144.06 mg
Braised duck gizzards|Duck gizzards with dark sauce, braised|70.5 kcal|14.57 g|1.32 g|0.52 g|NA|0 g|51.23 mg|305.97 mg
Braised duck rice|Duck, braised with skin, served with rice and gravy|643.65 kcal|22.77 g|28.9 g|9.79 g|0.65 g|71.76 g|86.36 mg|1445.6 mg
Braised duck tongue|Duck tongue with dark sauce, braised|42.65 kcal|2.78 g|3.35 g|0.98 g|NA|0.35 g|15.75 mg|348.83 mg
Braised duck with yam rice|Duck rice, with yam rice|556.5 kcal|21 g|9.8 g|2.59 g|3.5 g|95.55 g|21 mg|1081.5 mg
Braised duck without skin|Duck, braised, skinless|244.38 kcal|39.99 g|9.38 g|3.19 g|NA|NA|181.51 mg|512.62 mg
Braised egg in soya sauce|Egg, in soya sauce, braised|94.64 kcal|7.8 g|6.81 g|0.87 g|NA|0.62 g|238.16 mg|287.04 mg
Braised large intestine|Intestine, large, in dark sauce, braised|164.63 kcal|12.02 g|12.93 g|6.87 g|NA|NA|134.33 mg|642.36 mg
Braised lung in dark sauce|Lung, in dark sauce, braised|73.71 kcal|12.83 g|2.55 g|1.27 g|NA|NA|83.72 mg|556.92 mg
Braised mixed mushroom|Mushroom, mixed, braised|45.44 kcal|1.1 g|4.32 g|0.86 g|1.56 g|0.54 g|3.9 mg|277.28 mg
Braised mixed vegetables|Vegetables, mixed, braised|141.63 kcal|2.98 g|10.44 g|3.54 g|9.91 g|9.73 g|NA|553.46 mg
Braised pig trotter with mushroom|Pig, trotter, with mushroom, braised|360.96 kcal|30.6 g|24.02 g|8.01 g|5.46 g|6.02 g|146.73 mg|580.89 mg
Braised pork rib noodles|Yellow noodles with braised pork ribs, black mushroom and chye sim in soya gravy|636.56 kcal|32.66 g|25.12 g|7.49 g|3.29 g|66.85 g|104.02 mg|1534.64 mg
Braised pork ribs with black bean sauce||96.68 kcal|8.6 g|6.34 g|2.38 g|0.83 g|1.31 g|34.64 mg|152.78 mg
Braised pork ribs, with black mushroom and taucheo||153.18 kcal|14.41 g|9.71 g|3.47 g|1.38 g|2.04 g|58.3 mg|463.44 mg
Braised pork with black fungus|Pork, with crunchy black fungus, braised|821.07 kcal|44.79 g|67.18 g|23.25 g|2.49 g|9.6 g|216.82 mg|753.53 mg
Braised pork with chinese cabbage||120.09 kcal|10.48 g|8.18 g|2.79 g|0.97 g|1.16 g|25.13 mg|218.62 mg
Braised small intestine|Intestine, small, in dark sauce, braised|98.82 kcal|11.15 g|6.02 g|3.27 g|NA|NA|150.83 mg|565.42 mg
Braised soya sauce chicken|Jiang you ji; Xi you gei|49.92 kcal|4.63 g|3.42 g|1.04 g|NA|0.15 g|16.58 mg|142.54 mg
Braised taupok with vegetable||137.98 kcal|6.6 g|11.86 g|3.91 g|1.6 g|1.2 g|NA|192.4 mg
Braised tongue|Duck tongue with dark sauce, braised|42.65 kcal|2.78 g|3.35 g|0.98 g|NA|0.35 g|15.75 mg|348.83 mg
Brandy|Alcoholic beverage obtained from the distillation of wine, or fermented preparations of grapes or grape product.|64.38 kcal|NA|NA|NA|NA|0.09 g|NA|0.6 mg
Bread roll, white|Bread made from white bread flour milled from wheat and other permitted ingredients. Dough is shaped into individual serves before baking. Ready to eat.|261.17 kcal|9.18 g|3.42 g|0.54 g|3.15 g|46.44 g|NA|509.4 mg
Bread roll, white, soft||136.68 kcal|4.59 g|2.14 g|0.51 g|1.99 g|26.32 g|NA|285.6 mg
Bread roll, wholemeal|Commercially prepared bread made using wholemeal wheat flour, with added thiamin, shaped into a single serve roll before baking. Ready to eat.|229.95 kcal|9 g|2.61 g|0.45 g|5.13 g|39.6 g|NA|486 mg
Bread, brown|Bread made from equal parts of wholemeal flour and white flour.|67.52 kcal|2.72 g|0.7 g|0.14 g|1.4 g|11.73 g|NA|140 mg
Bread, brown, toasted|Bread made from equal parts of wholemeal flour and white flour. Toasted.|66.08 kcal|2.67 g|0.69 g|0.14 g|1.38 g|11.48 g|NA|136.85 mg
Bread, butterscotch-flavoured|Bread, baked with white compound chips|125.4 kcal|3.61 g|3.65 g|1.94 g|0.57 g|19.57 g|0.57 mg|154.28 mg
Bread, chocolate chip|sliced bread, baked with cocoa powder and chocolate chips|118.94 kcal|3 g|2.55 g|1.6 g|1.48 g|20.9 g|NA|136.8 mg
Bread, coconut||233.07 kcal|6.17 g|13.5 g|NA|2.59 g|21.78 g|NA|34.2 mg
Bread, focaccia|Bread, with sprinkled herb on top|162.71 kcal|5.62 g|4.24 g|0.63 g|1.43 g|25.55 g|NA|340.26 mg
Bread, focaccia, with sun-dried tomato|Bread, with sprinkled herb on top, dried-sun tomato filling|244.8 kcal|5.12 g|14.56 g|3.42 g|2.8 g|23.44 g|NA|336.8 mg
Bread, french||393.04 kcal|16.05 g|2.45 g|0.68 g|3.26 g|76.7 g|NA|884 mg
Bread, fruit with nuts and seeds (HCS)||109.2 kcal|4 g|1 g|0.3 g|1.32 g|21.04 g|NA|124 mg
Bread, garlic|Bread with mixture of polyunsaturated margarine spread, garlic, salt and parsley; heated to melt mixture.|218.4 kcal|6.02 g|8.54 g|1.75 g|2.31 g|28.21 g|NA|447.3 mg
Bread, multigrain||84.8 kcal|3.81 g|1.06 g|0.33 g|1.79 g|15.01 g|NA|93.12 mg
Bread, oat bran||70.8 kcal|3.12 g|1.32 g|0.21 g|1.35 g|11.94 g|NA|122.1 mg
Bread, pita||77 kcal|2.55 g|0.34 g|0.05 g|0.62 g|15.6 g|NA|150.08 mg
Bread, raisin|Bread-style loaf made from white wheat flour and containing 13- 25% added dried fruit|88.42 kcal|2.67 g|1.25 g|0.36 g|0.89 g|16.2 g|NA|61.05 mg
Bread, rolls|Brown rolls, dinner rolls|133.3 kcal|4.69 g|2.8 g|0.59 g|0.86 g|22.36 g|1.72 mg|230.48 mg
Bread, ryemeal||77.37 kcal|3.15 g|0.45 g|0.06 g|0.12 g|15.12 g|NA|119.1 mg
Bread, white||192.29 kcal|6.7 g|2.4 g|0.8 g|2 g|34 g|NA|296.14 mg
Bread, white (HCS)|Enriched white bread|70 kcal|2.8 g|1.01 g|0.43 g|1.04 g|12.4 g|NA|105.28 mg
Bread, white, aerated, high protein||53.55 kcal|2.92 g|0.61 g|0.17 g|0.78 g|8.95 g|NA|84 mg
Bread, white, fibre increased|Commercially prepared bread made from white wheat flour with added fibre and/or added high amylose maize starch. Ready to eat.|72.42 kcal|2.88 g|0.81 g|0.12 g|1.41 g|12.51 g|NA|138 mg
Bread, white, fibre increased, toasted|Commercially prepared bread made from white wheat flour with added fibre and/or added high amylose maize starch. Cooked by toasting after purchase.|66.91 kcal|2.65 g|0.76 g|0.12 g|1.31 g|11.55 g|NA|127.42 mg
Bread, white, from bakery shop|Bread made with white wheat flour and baked, bought from local bakeries|83.7 kcal|2.58 g|1.47 g|0.71 g|0.72 g|15.03 g|NA|121.8 mg
Bread, white, protein increased|-|68.53 kcal|2.63 g|0.64 g|0.14 g|0.76 g|12.49 g|NA|137.2 mg
Bread, white, protein increased, toasted|-|67.02 kcal|2.58 g|0.62 g|0.14 g|0.74 g|12.21 g|NA|134.09 mg
Bread, white, toasted|Commercially prepared bread made from white wheat flour with added fibre and/or added high amylose maize starch. Cooked by toasting after purchase.|66.91 kcal|2.65 g|0.76 g|0.12 g|1.31 g|11.55 g|NA|127.42 mg
Bread, whitemeal, enriched||72.24 kcal|2.86 g|0.42 g|0.19 g|0.9 g|14.22 g|NA|90.16 mg
Bread, wholemeal (HCS)||74.48 kcal|3.33 g|0.78 g|0.32 g|1.82 g|13.55 g|NA|87.92 mg
Bread, wholemeal, enriched||74.09 kcal|3.78 g|0.56 g|0.22 g|1.77 g|11.56 g|NA|85.25 mg
Bread, wholemeal, fibre increased|Commercially prepared bread made using wholemeal wheat flour with added fibre and thiamin. Ready to eat.|73.57 kcal|3.48 g|1.02 g|0.18 g|2.19 g|11.4 g|NA|135 mg
Bread, wholemeal, fibre increased, toasted|Commercially prepared bread made using wholemeal wheat flour with added fibre and thiamin. Cooked by toasting|72.97 kcal|3.45 g|1 g|0.18 g|2.17 g|11.33 g|NA|86.25 mg
Bread, wholemeal, toasted|Commercially prepared bread made using wholemeal wheat flour with added fibre and thiamin. Cooked by toasting|72.97 kcal|3.45 g|1 g|0.18 g|2.17 g|11.33 g|NA|86.25 mg
Bread, with banana and walnut|Bread, baked with banana puree, with visible banana and walnut pieces|124.8 kcal|4.72 g|2.48 g|0.8 g|1.16 g|21.96 g|NA|63.2 mg
Breadcrumb, commercial|Crisp crumbs crushed from thiamin fortified white bread which has been dried and packaged before sale.|322.75 kcal|11.25 g|3.24 g|0.63 g|3.69 g|59.58 g|NA|612 mg
Breadfruit, raw, peeled||34.6 kcal|0.5 g|0.19 g|NA|1.08 g|7.7 g|NA|7.32 mg
Breakfast cereal, flavoured, contains whole grains|Wholegrain breakfast cereals with various flavourings|100.2 kcal|1.92 g|1.66 g|0.64 g|1.35 g|19.38 g|NA|59.1 mg
Breakfast cereal, flavoured, not whole grains|Non-wholegrain breakfast cereals with various flavourings|95.7 kcal|1.86 g|0.69 g|0.43 g|0.54 g|20.52 g|NA|143.4 mg
Breakfast cereal, mixed, contains whole grains|Breakfast cereals with wholegrain and dried fruits or nuts|96.6 kcal|2.61 g|1.79 g|0.22 g|1.98 g|17.55 g|NA|95.4 mg
Breakfast cereal, mixed, not whole grains|Breakfast cereals with dried fruits or nuts but no wholegrain|112.2 kcal|2.22 g|1.59 g|0.43 g|0.93 g|22.26 g|NA|129.3 mg
Breakfast cereal, plain, contains whole grains|Wholegrain breakfast cereals without flavourings|95.4 kcal|2.25 g|0.93 g|0.2 g|1.74 g|19.47 g|NA|171 mg
Breakfast cereal, plain, not whole grains|Non-wholegrain breakfast cereals made of rice and corn without flavourings|92.7 kcal|2.07 g|0.3 g|0.11 g|0.66 g|20.46 g|NA|230.7 mg
Breakfast cereal, wholegrain, with dried fruits/nuts (HCS)|Wholegrain breakfast cereals with dried fruits or nuts, with Healthier Choice Symbol|94.5 kcal|2.55 g|1.14 g|0.22 g|2.25 g|18.51 g|NA|72 mg
Bream, African, raw||82.08 kcal|14.17 g|2.33 g|0.87 g|NA|1.04 g|52.7 mg|41.47 mg
Bream, red, African, raw||107.34 kcal|22.01 g|2.01 g|0.76 g|NA|0.34 g|68.15 mg|35.75 mg
Bream, threadfin, Japanese, raw||79.52 kcal|13.44 g|2.51 g|1.26 g|NA|0.8 g|39.44 mg|179.68 mg
Brewed coffee|brewed coffee, cup of Java, cup of joe, flat black|3.7 kcal|0.16 g|NA|0 g|NA|0.62 g|NA|3.1 mg
Brinjal pachadi|Brinjal, shallow fried, with added sugar and thick tamarind juice|227.33 kcal|1.4 g|10.67 g|3.98 g|3.81 g|31.62 g|NA|1148.71 mg
Broad bean without shell, with added salt, deep-fried|Broad bean, without shell, deep fried, with added salt.|936 kcal|47.6 g|36.2 g|15.24 g|24.6 g|105 g|NA|794 mg
Broccoli, boiled||22.34 kcal|2.38 g|0.28 g|0.04 g|2.31 g|4.04 g|0 mg|20.75 mg
Broccoli, raw|yang hua ye cai, kai-lan-fa|44.54 kcal|6.31 g|0.15 g|0 g|5.85 g|4.31 g|NA|18.48 mg
Brown rice bee hoon, fried, plain|Brown rice vermicelli, fried, plain|451.49 kcal|6.28 g|8.97 g|3.74 g|5.08 g|86.71 g|NA|1118.26 mg
Brown rice cooked|Brown rice, cooked|273.7 kcal|7.13 g|1.84 g|0.51 g|3.45 g|57.04 g|NA|6.9 mg
Brown rice kway teow, cooked|Values based on 90g raw kway teow|262 kcal|2.7 g|2.52 g|1.08 g|2 g|57.6 g|NA|34 mg
Brown rice laksa noodles, cooked|Values based on 90g raw noodles (assume yield similar to kway teow)|312 kcal|3.4 g|0.9 g|0.18 g|2.7 g|72.2 g|NA|19.26 mg
Brown rice porridge, plain|Cooked plain porridge with brown rice|76.8 kcal|3.07 g|0.51 g|0.1 g|0.77 g|14.85 g|NA|10.24 mg
Brown rice yellow noodles, raw|Values based on 100g raw noodles (no change in yield)|388 kcal|10.2 g|3.8 g|0.6 g|3.6 g|78.6 g|NA|699.6 mg
Brussel sprouts, raw|xiao ye cai, baby cabbage|31.58 kcal|3.34 g|0.26 g|NA|3.96 g|1.85 g|NA|26.4 mg
Bubble tea pearl|Tapioca ball used in bubble tea|441.33 kcal|NA|NA|NA|3.13 g|110.18 g|NA|46.95 mg
Bubor cha cha|Nil|536.05 kcal|6.74 g|33.73 g|30.1 g|8.16 g|52.18 g|NA|127.8 mg
Bubor cha cha (2018)|Sweet potato, yam, tapioca cubes, coconut milk|358 kcal|3.58 g|23.7 g|21.73 g|2.15 g|32.58 g|NA|64.08 mg
Bubur kanji|Porridge, fried peanut and ikan bilis, malay style|344.5 kcal|12.95 g|16.04 g|3.69 g|1.92 g|37.05 g|25.23 mg|287.27 mg
Bubur terigu||336 kcal|4.4 g|3.2 g|1.96 g|4.8 g|72.4 g|NA|40 mg
Bulgar, cooked||151.06 kcal|5.61 g|0.44 g|0.08 g|8.19 g|25.63 g|NA|9.1 mg
Bulgogi Gimbap (Korean Rice Roll with Spicy Beef)|Rice, beef, egg and vegetables|229.4 kcal|14.43 g|6.83 g|2.7 g|1.85 g|27.75 g|NA|664.15 mg
Bulgur, boiled||227.9 kcal|8.22 g|1.06 g|0.27 g|11.93 g|45.58 g|NA|26.5 mg
Bulgur, dried|A quick-cooking form of whole wheat that has been cleaned, parboiled, dried, ground into particles and sifted into distinct sizes (fine, medium and course grinds). As purchased; not cooked.|580.91 kcal|17.82 g|3.06 g|0.54 g|21.78 g|108.18 g|NA|27 mg
Bulgur, soaked||311.6 kcal|10.66 g|1.85 g|0.41 g|6.5 g|62.11 g|NA|4.1 mg
Bun, chicken curry||214.31 kcal|6.36 g|6.75 g|3.77 g|1.73 g|31.79 g|4.71 mg|293.59 mg
Bun, cinnamon|Bun made with added cinnamon|282.03 kcal|5.45 g|8.69 g|4.52 g|1.42 g|45.5 g|7.9 mg|443.98 mg
Bun, coconut|Bun filled with grated coconut and brown sugar, baked|229.08 kcal|5.04 g|11.45 g|7.94 g|4 g|26.5 g|NA|160.08 mg
Bun, custard|Bun with custard filling|178.29 kcal|5.86 g|5.42 g|2.54 g|1.45 g|24.7 g|19.53 mg|100.17 mg
Bun, dried shrimp|Bun filled with minced dried shrimp, chilli and sugar, baked|275.2 kcal|10.72 g|12.8 g|6.08 g|2.48 g|29.28 g|46.4 mg|524 mg
Bun, fruit, glazed|Bun, fruit, glazed|207.66 kcal|5.52 g|3.2 g|0.8 g|2.72 g|37.92 g|1.6 mg|225.6 mg
Bun, fruit, iced|Bun, fruit, iced, individual size|222.45 kcal|7.35 g|6 g|2.25 g|2.47 g|35.03 g|3 mg|150 mg
Bun, melon|White bun with sugar coating on top|186.05 kcal|5.06 g|5.8 g|2.96 g|0.92 g|26.41 g|26.23 mg|111.02 mg
Bun, pork floss|Bun with pork floss topping|336.96 kcal|9.98 g|19.11 g|3.67 g|1.33 g|31.36 g|37.44 mg|1150.5 mg
Bun, sausage|Bun filled with pork sausage|198.8 kcal|7.84 g|8.05 g|3.15 g|0.98 g|23.73 g|43.4 mg|367.5 mg
Bun, steamed||104.92 kcal|3.13 g|0.61 g|0 g|0.5 g|21.79 g|NA|83.23 mg
Bun, sugared|Bun with sugar topping, baked|177.1 kcal|5.17 g|4.07 g|1.87 g|1.54 g|29.7 g|NA|149.6 mg
Bun, susi||217.16 kcal|8.69 g|7.76 g|3.63 g|0.85 g|28.05 g|31.33 mg|270.56 mg
Bun, sweet, with dried fruit|Hot cross buns|207.2 kcal|5.52 g|3.2 g|0.8 g|2.72 g|37.92 g|1.6 mg|225.6 mg
Bun, tuna|Bread bun, with tuna filling, baked|238.69 kcal|9.68 g|10.51 g|3.9 g|1.58 g|26.43 g|45.77 mg|333.25 mg
Bun, with sugar coated topping|Lion bread|61.4 kcal|1.54 g|2.04 g|1.04 g|0.32 g|9.24 g|3.4 mg|56.8 mg
Burger, Big Mac, McDonalds'|- -|522.24 kcal|24.48 g|26.01 g|11.51 g|5 g|49 g|51 mg|969 mg
Burger, double whopper with cheese, Burger King||997.5 kcal|52.5 g|63.97 g|26.24 g|6 g|44.7 g|176.25 mg|1451.25 mg
Butter Sugar Toast|Butter sugar toast|270.08 kcal|4.03 g|14.49 g|10.06 g|1.09 g|30.85 g|NA|320.64 mg
Butter cake|Cake, butter|360.63 kcal|5.41 g|17.13 g|9.56 g|1.02 g|46.64 g|181.75 mg|219.17 mg
Butter cookies||30.42 kcal|0.35 g|1.49 g|0.87 g|0.08 g|3.9 g|2.42 mg|10.98 mg
Butter crab|Crab, butter|387.5 kcal|20.35 g|28.38 g|13.48 g|NA|12.7 g|125.71 mg|1343.95 mg
Butter roll||88.76 kcal|2.32 g|2.24 g|1.26 g|0.81 g|14.84 g|3.78 mg|143.64 mg
Butter sugar roll|soft bread roll with sugar-butter-cream-filling|200.85 kcal|5.59 g|5.07 g|2.54 g|1.56 g|33.35 g|NA|185.25 mg
Butter, salted|A product derived from milk and products obtained from milk, containing no less than 80% milkfat. Contains added salt.|180.2 kcal|0.18 g|20.2 g|13.13 g|NA|0.18 g|57 mg|152.5 mg
Butter, unsalted|A product derived exclusively from milk and products obtained from milk, containing no less than 80% milkfat. No added salt.|44.5 kcal|0.04 g|4.99 g|3.25 g|NA|0.04 g|15.12 mg|0.6 mg
Butterfly cookie|Deep fried cookies made of wheat flour, eggs, sugar and palm oil|236 kcal|3.55 g|11.55 g|6.95 g|1 g|29.4 g|1.7 mg|470.5 mg
Butterfly fritter|Sweet dough made of flour and self-raising flour, sprinkled with sesame seeds on top, deep-fried|207.48 kcal|3.82 g|8.72 g|4.67 g|1.08 g|28.44 g|NA|79.23 mg
Buttermilk|Reduced fat milk which has been fermented by the deliberate addition of bacterial cultures. Product remains a liquid and does not have flavours or other foods added to it.|149.36 kcal|10.84 g|5.16 g|3.35 g|NA|13.93 g|23.22 mg|147.06 mg
CROISSAN'WICH w/ Chicken Sausage, Burger King|Croissant with sausage patty, egg and cheese|430.89 kcal|NA|26.9 g|11.5 g|1.49 g|NA|165.36 mg|837.93 mg
CROISSAN'WICH w/ Turkey Bacon, Burger King|Croissant with turkey bacon, egg and cheese|364.78 kcal|NA|22.8 g|10.3 g|1.4 g|NA|142.74 mg|739.32 mg
CROISSAN'WICH w/ Turkey Ham, Burger King|Croissant with turkey ham, egg and cheese|348.66 kcal|NA|19.7 g|9.7 g|1.4 g|NA|151.98 mg|819.5 mg
Cabbage soup with pork ribs||149.22 kcal|18.65 g|6.23 g|2.19 g|0.47 g|3.35 g|42.73 mg|1276.61 mg
Cabbage, boiled, drained||27.6 kcal|1.52 g|0.07 g|NA|2.28 g|6.61 g|NA|9.6 mg
Cabbage, celery, chinese, boiled, drained||16.66 kcal|1.79 g|0.2 g|0.04 g|0.6 g|2.87 g|NA|10.71 mg
Cabbage, celery, straight cylindrical, raw||99.32 kcal|10.55 g|2.64 g|0.66 g|4.62 g|7.92 g|NA|26.38 mg
Cabbage, celery, wrapped head, raw||88.65 kcal|9.47 g|2.58 g|0.86 g|6.89 g|6.89 g|NA|77.46 mg
Cabbage, chinese, salted, raw||110.02 kcal|4.11 g|1.1 g|NA|3.56 g|21.1 g|NA|5104.62 mg
Cabbage, common, raw||11.08 kcal|0.81 g|0.1 g|0.02 g|1.16 g|1.71 g|NA|8.06 mg
Cabbage, in coconut milk, stewed|Kubis masak lemak; curry, cabbage, with coconut milk|130.13 kcal|4.34 g|11.39 g|9.81 g|0.76 g|2.77 g|36.95 mg|414.24 mg
Cabbage, pekinese, dried||680.89 kcal|14.76 g|1.9 g|NA|22.37 g|151.13 g|NA|1170.96 mg
Cabbage, red, raw|Large, smooth and round in shape, with layers of tightly packed purple-red coloured leaves.|17.16 kcal|1.29 g|0.18 g|NA|2 g|1.59 g|NA|9.41 mg
Cabbage, white, chinese, boiled, drained||20.4 kcal|2.65 g|0.27 g|0.04 g|2.72 g|3.03 g|NA|57.8 mg
Cabbage, white, chinese, raw||12.12 kcal|1.44 g|0.15 g|NA|0.45 g|1.21 g|NA|12.87 mg
Caesar salad||93.72 kcal|6.77 g|4.37 g|2.52 g|3.41 g|5.71 g|10.65 mg|176.79 mg
Cafe 26 oriental salad dressing|-|85 kcal|0.1 g|0.15 g|NA|NA|4.4 g|NA|62 mg
Cafe 26 tangy salad dressing|-|74 kcal|0.2 g|0.1 g|0.1 g|NA|3.2 g|NA|57 mg
Cake, bean|Peanut cake|61.65 kcal|1.59 g|2.34 g|0.49 g|0.32 g|8.59 g|NA|10.8 mg
Cake, black forest, commercial|Chocolate sponge sandwich with cream and cherry filling and flaked chocolate topping as purchased. Approx. 48% Sponge, 38% cream, 6% fruit and 8% topping.|258.64 kcal|2.81 g|14.28 g|8.29 g|2.07 g|30.04 g|48.1 mg|177.6 mg
Cake, carrot, with cream cheese frosting||144.6 kcal|1.2 g|7.8 g|1.8 g|0.6 g|18 g|27.6 mg|105 mg
Cake, chocolate, homemade|Chocolate cake made from common household ingredients including self raising flour, butter, sugar, egg, milk and cocoa, then baked.|201.97 kcal|3.8 g|9.85 g|6.11 g|0.83 g|24.7 g|57.75 mg|275 mg
Cake, fruit, dark, uniced, commercial|Dark-coloured cake containing large amounts of dried vine fruit, citrus peel and glace cherries, prepared commercially|202.97 kcal|3.18 g|6.96 g|2.46 g|1.8 g|32.16 g|14.4 mg|186 mg
Cake, fruit, light, uniced, commercial|Light-coloured cake containing dried vine fruit, citrus peel and glace cherries.|215.45 kcal|2.94 g|8.34 g|4.08 g|1.98 g|32.16 g|31.2 mg|216 mg
Cake, fruit, uniced, homemade|Cake made from common house hold ingredients including dried vine fruit (boiled), self raising and plain flours, sugar, butter, eggs and citrus peel, baked.|193.49 kcal|2.64 g|5.82 g|3.6 g|1.74 g|32.7 g|22.2 mg|235.8 mg
Cake, plain, commercial|Cake, plain, commercial|141.3 kcal|3.28 g|6.12 g|2.84 g|0.48 g|18.76 g|30 mg|194.4 mg
Cake, plain, uniced, homemade|Cake made from common household ingredients including self raising flour, milk, butter, sugar and eggs, baked.|151.1 kcal|2.88 g|6.76 g|4.2 g|0.64 g|19.68 g|36.4 mg|220.4 mg
